Alces alces
Epigaea repens
Gaultheria hispidula
Gaultheria procumbens
Gaylussacia baccata
Gaylussacia dumosa var. bigeloviana
Kalmia angustifolia
Kalmia latifolia
Kalmia polifolia
Moneses uniflora
Monotropa hypopithys
Monotropa uniflora
Orthilia secunda
Pyrola americana
Pyrola chlorantha
Pyrola elliptica
Rhododendron canadense
Rhododendron groenlandicum
Rhododendron viscosum
Vaccinium angustifolium
Vaccinium boreale
Vaccinium cespitosum
Vaccinium corymbosum
Vaccinium macrocarpon
Vaccinium myrtilloides
Vaccinium oxycoccus
Vaccinium pallidum
Vaccinium uliginosum
Vaccinium vitis-idaea ssp. minus
Anagallis arvensis
Glaux maritima
Glaux maritima ssp. obtusifolia
Lysimachia ciliata
Lysimachia nummularia
Lysimachia quadrifolia
Lysimachia terrestris
Lysimachia thyrsiflora
Lysimachia vulgaris
Lysimachia X producta
Trientalis borealis
Sarracenia purpurea
Amphicarpaea bracteata
Apios americana
Coronilla varia
Desmodium glutinosum
Genista tinctoria
Lathyrus japonicus var. maritimus
Lathyrus japonicus var. pellitus
Lathyrus palustris
Lathyrus pratensis
Lotus corniculatus
Lupinus polyphyllus
Medicago lupulina
Medicago sativa
Melilotus officinalis
Robinia hispida
Robinia pseudo-acacia
Robinia viscosa
Thermopsis mollis
Trifolium arvense
Trifolium aureum
Trifolium campestre
Trifolium dubium
Trifolium hybridum
Trifolium pratense
Trifolium repens
Vicia cracca
Vicia hirsuta
Vicia sativa
Vicia sativa ssp. nigra
Vicia tetrasperma
Vicia villosa
Polygala paucifolia
Polygala sanguinea
Polygala verticillata
Alnus incana ssp. rugosa
Alnus viridis ssp. crispa
Betula alleghaniensis
Betula cordifolia
Betula papyrifera
Betula populifolia
Betula X caerulea
Corylus cornuta
Ostrya virginiana
Fagus grandifolia
Quercus ilicifolia
Quercus rubra
Comptonia peregrina
Myrica gale
Myrica pensylvanica
Apocynum androsaemifolium
Apocynum cannabinum
Asclepias incarnata var. pulchra
Asclepias syriaca
Bartonia paniculata ssp. iodandra
Bartonia virginica
Lomatogonium rotatum
Cephalanthus occidentalis
Galium aparine
Galium asprellum
Galium labradoricum
Galium mollugo
Galium palustre
Galium tinctorium
Galium trifidum
Galium triflorum
Galium verum
Houstonia caerulea
Mitchella repens
Geranium bicknellii
Geranium carolinianum
Geranium molle
Geranium robertianum
Isoetes acadiensis
Isoetes echinospora
Isoetes lacustris
Isoetes prototypus
Isoetes riparia
Isoetes tuckermanii
Isoetes X harveyi
Galeopsis bifida
Galeopsis tetrahit
Glechoma hederacea
Hedeoma pulegioides
Leonurus cardiaca
Lycopus americanus
Lycopus uniflorus
Lycopus virginicus
Mentha arvensis
Mentha canadensis
Mentha spicata
Mentha X piperita
Mentha X villosa
Nepeta cataria
Prunella vulgaris
Prunella vulgaris ssp. lanceolata
Satureja hortensis
Scutellaria galericulata
Scutellaria lateriflora
Stachys arvensis
Stachys palustris ssp. palustris
Teucrium canadense
Teucrium canadense var. occidentale
Thymus pulegioides
Utricularia cornuta
Utricularia geminiscapa
Utricularia gibba
Utricularia intermedia
Utricularia macrorhiza
Utricularia minor
Utricularia purpurea
Utricularia radiata
Utricularia resupinata
Lindernia dubia
Forsythia
Fraxinus americana
Fraxinus nigra
Fraxinus pennsylvanica
Ligustrum amurense
Ligustrum vulgare
